flight_id,box,grp,reg,model,type,callsign,minutes,km,agl_med,agl_min,gs_med,interior,bracketed,lon,lat,start_ap,end_ap,week,d_own
405ff3:2025-06-20T15:33:41Z,LK_LakeDist,civ_ga,G-CFUE,ALPI Pioneer 330,PNR3,GCFUE,0.18,0.7,653,653,124.0,False,False,-3.05,54.5,,,2025-06-14,127.7
424c59:2025-06-20T12:35:26Z,LK_LakeDist,rotorcraft,M-PLGL,BELL 407,B407,MPLGL,0.66,2.1,340,334,98.0,False,False,-3.05,54.55,,,2025-06-14,9.4
424c59:2025-06-20T12:35:26Z,LK_LakeDist,rotorcraft,M-PLGL,BELL 407,B407,MPLGL,1.26,4.5,549,469,116.0,False,False,-3.05,54.5,,,2025-06-14,3.1
43c8d4:2025-06-20T11:40:45Z,LK_LakeDist,mil_state,ZM333,EMBRAER EMB-500 Phenom 100,E50P,CWL19,0.15,1.0,614,614,221.0,False,False,-2.95,54.45,EGYD,EGYD,2025-06-14,224.7
43c8d6:2025-06-20T11:12:06Z,LK_LakeDist,mil_state,ZM335,EMBRAER EMB-500 Phenom 100,E50P,CWL51,0.92,6.7,610,355,241.0,False,False,-2.95,54.475,EGYD,EGYD,2025-06-14,227.5
43c8e0:2025-06-20T08:35:32Z,LK_LakeDist,rotorcraft,ZM506,AIRBUS HELICOPTERS EC-135/635,EC35,SYS150,3.02,10.1,150,96,128.0,False,False,-2.95,54.483,EGOS,EGCB,2025-06-14,120.9
40296f:2025-06-19T15:29:49Z,LK_LakeDist,civ_ga,G-OZJX,PIPER PA-28-140/150/160/180,P28A,GOZJX,0.32,1.1,513,513,106.0,False,False,-2.95,54.5,,EGGP,2025-06-14,0.5
40296f:2025-06-19T15:29:49Z,LK_LakeDist,civ_ga,G-OZJX,PIPER PA-28-140/150/160/180,P28A,GOZJX,0.79,2.7,535,395,97.0,False,False,-2.95,54.45,,EGGP,2025-06-14,4.4
4046b6:2025-06-19T12:47:19Z,LK_LakeDist,civ_ga,G-UANT,PIPER PA-28-140/150/160/180,P28A,GUANT,0.8,2.3,641,641,111.0,False,False,-3.15,54.2,EGNH,EGNH,2025-06-14,49.5
4057c3:2025-06-18T12:44:24Z,LK_LakeDist,rotorcraft,G-GOES,ROBINSON R-44 Raven,R44,GGOES,0.86,3.0,654,572,108.0,False,False,-3.15,54.2,,,2025-06-14,7.3
43c8d6:2025-06-16T14:56:32Z,LK_LakeDist,mil_state,ZM335,EMBRAER EMB-500 Phenom 100,E50P,CWL36,1.68,11.8,547,438,211.0,False,False,-2.95,54.465,,EGXE,2025-06-14,91.9
