airport,flight_id,callsign,icao_type,registration,operator,date,t,haf,agl,dist,trk,rwy,climb,top_haf,align,start_ap,end_ap,goaround,touchgo
EGBB,407512:2026-01-18T02:22:53Z,TOM831,B789,G-TUIM,,2026-01-18,1768707366.64,-26.767899999999997,3.4433,812.4794351330357,146.0,146,1.773399999999981,-24.994500000000016,0.0,,EGBB,False,False
EGBB,4067f6:2026-01-18T05:30:07Z,TOM855,B788,G-TUIB,,2026-01-18,1768718698.49,-56.21109999999999,-25.2303,911.7505817012931,143.0,146,40.93729999999999,-15.273799999999994,3.0,,EGBB,False,False
EGBB,4ca281:2026-01-18T06:43:15Z,EIN2XC,A320,EI-DEI,,2026-01-18,1768720971.9,-18.669600000000003,3.9051,454.8647176177064,145.0,146,0.0,-18.669600000000003,1.0,EIDW,EGBB,False,False
EGBB,440589:2026-01-18T06:41:18Z,EJU56KP,A319,OE-LQM,,2026-01-18,1768721779.97,-19.391899999999964,1.1078,360.7795540607242,145.0,146,0.0,-19.391899999999964,1.0,EHAM,EGBB,False,False
EGBB,405631:2026-01-18T07:11:58Z,EZY59EW,A319,G-EZDA,,2026-01-18,1768722890.99,-47.335199999999986,-17.3481,803.871529824783,147.0,146,26.976400000000012,-20.358799999999974,1.0,,EGBB,False,False
EGBB,4cace0:2026-01-18T07:29:48Z,RYR852K,B738,EI-GJT,,2026-01-18,1768723721.12,-48.94659999999999,-18.1718,900.489367611222,146.0,146,2.4955999999999676,-46.45100000000002,0.0,EIDW,EGBB,False,False
EGBB,3991e0:2026-01-18T08:18:34Z,AFR49ZJ,A320,F-HEPA,,2026-01-18,1768727528.32,-58.225400000000036,-28.2394,800.8888781018326,146.0,146,55.66590000000002,-2.559500000000014,0.0,,EGBB,False,False
EGBB,406e69:2026-01-18T08:33:46Z,EZY94UJ,A320,G-EZOX,,2026-01-18,1768728200.29,-28.593399999999974,-4.1592,537.3856313380372,146.0,146,0.0,-28.593399999999974,0.0,EGPF,EGBB,False,False
EGBB,484131:2026-01-18T08:56:41Z,KLM27J,B738,PH-BXB,,2026-01-18,1768729645.43,-31.026999999999987,-7.4184,507.0067130704963,145.0,146,0.0,-31.026999999999987,1.0,EHAM,EGBB,False,False
EGBB,4ca9d0:2026-01-18T09:22:16Z,RYR6AT,B738,EI-EVH,,2026-01-18,1768730371.47,-57.2688,-37.4165,311.5377983696818,146.0,146,0.0,-57.2688,0.0,EIDW,EGBB,False,False
EGBB,4bb063:2026-01-18T06:51:32Z,THY9MY,B38M,TC-LCC,,2026-01-18,1768730793.48,-47.917100000000005,-23.0854,550.0552997333427,152.0,146,39.163599999999974,-8.753500000000031,6.0,,EGBB,False,False
EGBB,4d234d:2026-01-18T09:17:09Z,RYR69NV,B38M,9H-VUN,,2026-01-18,1768731005.19,-34.35759999999999,-14.579,314.51476244752416,146.0,146,0.0,-34.35759999999999,0.0,EIKN,EGBB,False,False
EGBB,4ca853:2026-01-18T08:54:31Z,RYR34ZD,B738,EI-EMK,,2026-01-18,1768732262.52,-13.57140000000004,10.1347,510.3041531301417,146.0,146,0.0,-13.57140000000004,0.0,LIME,EGBB,False,False
EGBB,407fac:2026-01-18T09:16:29Z,TOM32X,B38M,G-TUOB,,2026-01-18,1768733241.91,-53.98059999999998,-23.6718,819.7052170412152,152.0,146,37.0077,-16.97289999999998,6.0,LFBO,EGBB,False,False
EGBB,8963ee:2026-01-18T04:12:32Z,UAE39,A388,A6-EOQ,,2026-01-18,1768735364.7,-53.280899999999974,-38.3816,35.808083020573065,146.0,146,0.0,-53.280899999999974,0.0,OMDB,EGBB,False,False
EGBB,407686:2026-01-18T09:53:39Z,EZY65FE,A20N,G-UZHR,,2026-01-18,1768735704.79,-14.208100000000002,16.6899,897.5577595943373,149.0,146,8.6952,-5.512900000000002,3.0,,EGBB,False,False
EGBB,40655b:2026-01-18T10:22:38Z,EXS82LG,B738,G-GDFD,,2026-01-18,1768736723.06,-61.929700000000025,-39.717,439.0138086768565,146.0,146,0.0,-61.929700000000025,0.0,LSGG,EGBB,False,False
EGBB,4ca61d:2026-01-18T11:01:31Z,RYR719,B738,EI-DWP,,2026-01-18,1768736872.96,-62.89589999999998,-41.3487,412.9165810437944,146.0,146,0.0,-62.89589999999998,0.0,,EGBB,False,False
EGBB,4070f0:2026-01-18T10:47:31Z,EXS71N,B738,G-JZHL,,2026-01-18,1768738195.95,-21.412500000000023,-6.4986,129.93880558140233,146.0,146,0.0,-21.412500000000023,0.0,,EGBB,False,False
EGBB,407e4e:2026-01-18T10:46:54Z,EXS1BH,B738,G-JZBT,,2026-01-18,1768739061.4,-26.84559999999999,-11.8593,13.3609267286586,146.0,146,0.0,-26.84559999999999,0.0,LIMF,EGBB,False,False
EGBB,06a0bd:2026-01-18T09:47:30Z,QTR3W,B788,A7-BCY,,2026-01-18,1768739648.9,-5.546899999999994,9.4337,8.894449167158974,146.0,146,0.0,-5.546899999999994,0.0,,EGBB,False,False
EGBB,7105ad:2026-01-18T07:29:31Z,SVA253,B78X,HZ-AR26,,2026-01-18,1768739835.03,-12.420999999999992,18.0841,838.5596245165771,321.0,326,5.622700000000009,-6.798299999999983,5.0,,EGBB,False,False
EGBB,3c66e8:2026-01-18T11:21:07Z,DLH954,A320,D-AIWH,,2026-01-18,1768740128.9,-33.52879999999999,-10.0876,499.76855602857376,146.0,146,0.0,-33.52879999999999,0.0,EDDF,EGBB,False,False
EGBB,406f3b:2026-01-18T12:17:29Z,TOM931P,B789,G-TUIJ,,2026-01-18,1768740803.22,8.718200000000024,39.3151,1057.1123603107542,146.0,146,3.3950999999999567,12.113299999999981,0.0,EGKK,EGBB,False,False
EGBB,485876:2026-01-18T11:52:19Z,KLM81D,E75L,PH-EXZ,,2026-01-18,1768741016.11,-14.154600000000016,0.9727,100.26560422656424,146.0,146,0.0,-14.154600000000016,0.0,EHAM,EGBB,False,False
EGBB,406670:2026-01-18T06:14:47Z,EZY27TR,A320,G-EZUW,,2026-01-18,1768741230.99,-15.447400000000016,1.805,191.42050763730398,146.0,146,0.0,-15.447400000000016,0.0,EGBB,EGBB,False,False
EGBB,406909:2026-01-18T12:05:02Z,EZY37GT,A320,G-EZWH,,2026-01-18,1768741451.05,-55.529300000000035,-24.5557,906.592838350402,146.0,146,39.07680000000005,-16.452499999999986,0.0,EGPH,EGBB,False,False
EGBB,4ca2c1:2026-01-18T12:25:45Z,RYR1BF,B738,EI-DLD,,2026-01-18,1768741740.54,-42.68309999999997,-12.1681,874.8445579737084,146.0,146,0.0,-42.68309999999997,0.0,EIDW,EGBB,False,False
EGBB,40823d:2026-01-18T10:46:14Z,EXS46RA,A21N,G-HLYL,,2026-01-18,1768741995.37,-24.859500000000025,7.0047,967.0825955511084,146.0,146,30.940600000000018,6.081099999999992,0.0,,EGBB,False,False
EGBB,40665f:2026-01-18T11:42:51Z,TOM5GA,B738,G-TAWB,,2026-01-18,1768742274.13,-28.703899999999976,1.1561,796.6637711033972,149.0,146,8.543799999999976,-20.1601,3.0,LIMF,EGBB,False,False
EGBB,3986e4:2026-01-18T12:29:01Z,AFR71TA,E170,F-HBXE,,2026-01-18,1768742600.68,-21.581500000000005,-6.7054,116.78101496753118,146.0,146,0.0,-21.581500000000005,0.0,LFPG,EGBB,False,False
EGBB,406a62:2026-01-18T10:09:13Z,EXS4LX,B738,G-GDFX,,2026-01-18,1768742818.75,27.55079999999998,55.9199,1285.9717624769103,146.0,146,0.0,27.55079999999998,0.0,LMML,EGBB,False,False
EGBB,4cadc2:2026-01-18T10:31:02Z,RYR10XL,B38M,EI-IGE,,2026-01-18,1768743047.07,-48.52460000000002,-23.9239,542.9790858466432,146.0,146,0.0,-48.52460000000002,0.0,LMML,EGBB,False,False
EGBB,48c122:2026-01-18T11:20:19Z,RYR30UU,B738,SP-RKC,,2026-01-18,1768743268.84,-49.532899999999984,-29.6301,314.5567183367141,146.0,146,0.0,-49.532899999999984,0.0,EPKK,EGBB,False,False
EGBB,4bb855:2026-01-18T01:24:53Z,PGT513Y,A20N,TC-NBU,,2026-01-18,1768743506.06,-25.574299999999994,-2.16,498.9461291865033,146.0,146,0.0,-25.574299999999994,0.0,,EGBB,False,False
EGBB,4cadba:2026-01-18T13:25:00Z,RYR9394,B38M,EI-IGH,,2026-01-18,1768744339.31,-54.28989999999999,-31.1309,488.2438615327377,146.0,146,0.0,-54.28989999999999,0.0,EGFF,EGBB,False,False
EGBB,4d21ec:2026-01-18T12:01:37Z,RYR13SY,B738,9H-QAD,,2026-01-18,1768744884.35,-56.68369999999999,-39.1527,233.67381213498376,146.0,146,0.0,-56.68369999999999,0.0,LEMD,EGBB,False,False
EGBB,4caa57:2026-01-18T11:33:27Z,RYR315Z,B738,EI-EVR,,2026-01-18,1768746565.84,-37.88159999999999,-7.7721,1125.9156003569422,146.0,146,0.0,-37.88159999999999,0.0,LROP,EGBB,False,False
EGBB,4cae6b:2026-01-18T10:34:28Z,RYR2VP,B38M,EI-IJX,,2026-01-18,1768747329.55,-65.6893,-45.1237,369.8905211660109,146.0,146,0.0,-65.6893,0.0,GCFV,EGBB,False,False
EGBB,408033:2026-01-18T06:12:51Z,EXS82EN,A21N,G-SUNJ,,2026-01-18,1768747498.39,-29.885899999999992,0.3137,1074.821218628524,150.0,146,13.537199999999984,-16.348700000000008,4.0,EGBB,EGBB,False,False
EGBB,407e7b:2026-01-18T06:49:46Z,TOM2GK,B38M,G-TUMX,,2026-01-18,1768747804.89,-67.47489999999999,-39.4225,679.1993893064538,146.0,146,0.0,-67.47489999999999,0.0,EGBB,EGBB,False,False
EGBB,4d226e:2026-01-18T12:28:18Z,RYR70WK,B738,9H-QCZ,,2026-01-18,1768748235.57,-73.3349,-42.5697,895.0307997089548,149.0,146,29.2706,-44.0643,3.0,,EGBB,False,False
EGBB,4b027d:2026-01-18T13:24:56Z,EZS65VB,A20N,HB-AYN,,2026-01-18,1768748582.07,-44.84230000000002,-25.0637,314.51476244752416,145.0,146,0.0,-44.84230000000002,1.0,LSGG,EGBB,False,False
EGBB,4ca2ca:2026-01-18T14:30:53Z,EIN268,A320,EI-DES,,2026-01-18,1768748865.82,-45.19569999999999,-22.4608,469.16605987727246,146.0,146,0.0,-45.19569999999999,0.0,EIDW,EGBB,False,False
EGBB,4bb282:2026-01-18T11:47:49Z,THY6KN,A21N,TC-LTB,,2026-01-18,1768749171.12,-20.53589999999997,-0.1971,358.5000599869633,146.0,146,0.0,-20.53589999999997,0.0,,EGBB,False,False
EGBB,48c2a3:2026-01-18T13:48:10Z,RYR8WW,B38M,SP-RZD,,2026-01-18,1768750839.39,-47.4846,-26.7121,382.54091490493255,146.0,146,0.0,-47.4846,0.0,EPPO,EGBB,False,False
EGBB,4d23f8:2026-01-18T15:21:12Z,RYR28NQ,B38M,9H-VVD,,2026-01-18,1768751907.74,-73.72399999999999,-53.7445,326.0678496218108,146.0,146,0.0,-73.72399999999999,0.0,EIDW,EGBB,False,False
EGBB,406d26:2026-01-18T15:45:30Z,TOW445P,A332,G-VYGK,,2026-01-18,1768752212.2,-98.95150000000001,-79.2895,307.4341488081874,146.0,146,0.0,-98.95150000000001,0.0,EGVN,EGBB,False,False
EGBB,45b423:2026-01-18T14:51:16Z,SRR711,B77L,OY-MAC,,2026-01-18,1768752505.7,-89.03559999999999,-64.5906,538.7624069074096,144.0,146,39.954499999999996,-49.08109999999999,2.0,,EGBB,False,False
EGBB,406e69:2026-01-18T15:33:49Z,EZY67YV,A320,G-EZOX,,2026-01-18,1768753213.92,-24.531200000000013,-4.2545,351.37193516725637,146.0,146,0.0,-24.531200000000013,0.0,EGJJ,EGBB,False,False
EGBB,405f12:2026-01-18T16:07:12Z,EZY43JW,A320,G-EZTB,,2026-01-18,1768754836.9,-41.32040000000001,-11.3111,1102.0599729545957,146.0,146,15.8519,-25.468500000000006,0.0,,EGBB,False,False
EGBB,4867c1:2026-01-18T16:00:06Z,KLM93B,A21N,PH-AXF,,2026-01-18,1768755362.58,-25.76189999999997,-6.4322,299.9714249717663,146.0,146,0.0,-25.76189999999997,0.0,EHAM,EGBB,False,False
EGBB,3c6552:2026-01-18T15:16:51Z,LHX4NX,A20N,D-AIJR,,2026-01-18,1768755841.4,-74.1146,-43.4262,886.1999251236916,144.0,146,23.427900000000022,-50.68669999999997,2.0,EDDM,EGBB,False,False
EGBB,4cae58:2026-01-18T14:41:26Z,RYR72KH,B38M,EI-IJH,,2026-01-18,1768756286.97,-75.32150000000001,-56.8046,277.6495163251947,146.0,146,0.0,-75.32150000000001,0.0,LIRA,EGBB,False,False
EGBB,40643d:2026-01-18T16:34:08Z,EZY87XB,A320,G-EZUC,,2026-01-18,1768757106.66,-97.4219,-65.6936,958.7429066979838,146.0,146,47.7885,-49.633399999999995,0.0,EGPH,EGBB,False,False
EGBB,4ca853:2026-01-18T15:22:22Z,RYR44MU,B738,EI-EMK,,2026-01-18,1768757614.04,-24.23090000000002,5.7847,1103.259881815738,146.0,146,0.0,-24.23090000000002,0.0,EPKK,EGBB,False,False
EGBB,4b028c:2026-01-18T16:23:40Z,SWR7T,E290,HB-AZC,,2026-01-18,1768758479.25,-23.402199999999993,-12.5239,360.7519811107973,146.0,146,0.0,-23.402199999999993,0.0,LSZH,EGBB,False,False
EGBB,407e53:2026-01-18T08:53:19Z,EXS1336,A21N,G-SUNE,,2026-01-18,1768759084.52,-35.094600000000014,-3.1554,992.6350071182064,145.0,146,37.1275,2.0328999999999837,1.0,EGBB,EGBB,False,False
EGBB,4ca660:2026-01-18T16:38:01Z,SAS2535,CRJ9,EI-FPF,,2026-01-18,1768760345.55,2.939200000000028,19.8988,214.03062454135156,146.0,146,0.0,2.939200000000028,0.0,EKCH,EGBB,False,False
EGBB,4080df:2026-01-18T14:36:28Z,EXS48CR,A21N,G-SUNO,,2026-01-18,1768761926.79,-1.856899999999996,25.1463,642.255136231392,146.0,146,5.926400000000001,4.069500000000005,0.0,GCRR,EGBB,False,False
EGBB,4077bb:2026-01-18T14:36:32Z,EXS13LM,B738,G-DRTW,,2026-01-18,1768762187.17,-45.74720000000002,-28.5183,227.77510496029078,146.0,146,0.0,-45.74720000000002,0.0,LTAI,EGBB,False,False
EGBB,4cae96:2026-01-18T18:13:48Z,RYR27YC,B38M,EI-IKN,,2026-01-18,1768762405.65,-68.5806,-38.1619,834.2426804853807,145.0,146,23.014599999999973,-45.56600000000003,1.0,EIDW,EGBB,False,False
EGBB,440589:2026-01-18T18:08:10Z,EJU58YR,A319,OE-LQM,,2026-01-18,1768763022.46,-70.9409,-41.0848,796.8634797189025,146.0,146,0.0,-70.9409,0.0,EHAM,EGBB,False,False
EGBB,8005f4:2026-01-18T11:13:44Z,AIC113,B788,VT-ANK,,2026-01-18,1768763223.35,3.2574000000000183,22.4166,296.03809590277825,146.0,146,0.0,3.2574000000000183,0.0,,EGBB,False,False
EGBB,4081a9:2026-01-18T15:08:37Z,EXS36JC,A21N,G-HLYH,,2026-01-18,1768764087.49,-24.67750000000001,-3.4735,402.57716778483626,146.0,146,0.0,-24.67750000000001,0.0,,EGBB,False,False
EGBB,48c122:2026-01-18T17:51:38Z,RYR25JP,B738,SP-RKC,,2026-01-18,1768765575.7,-54.80020000000002,-37.526,235.04343592799282,146.0,146,0.0,-54.80020000000002,0.0,,EGBB,False,False
EGBB,406a91:2026-01-18T19:05:40Z,EZY48KR,A320,G-EZWP,,2026-01-18,1768765867.39,-51.386199999999974,-21.3706,1103.259881815738,142.0,146,20.573199999999986,-30.812999999999988,4.0,,EGBB,False,False
EGBB,3c6491:2026-01-18T18:55:46Z,EWG81F,A321,D-AIDQ,,2026-01-18,1768766371.6,-50.6721,-18.7362,996.8641654912865,144.0,146,18.116800000000012,-32.55529999999999,2.0,EDDL,EGBB,False,False
EGBB,40757f:2026-01-18T19:23:13Z,EZY24BT,A20N,G-UZHP,,2026-01-18,1768767060.07,-38.31909999999999,-7.5443,900.489367611222,146.0,146,4.567799999999977,-33.751300000000015,0.0,EGPH,EGBB,False,False
EGBB,4b027d:2026-01-18T18:51:49Z,EZS12PU,A20N,HB-AYN,,2026-01-18,1768767281.93,-34.10070000000002,-14.7978,303.00749429813703,146.0,146,0.0,-34.10070000000002,0.0,LSGG,EGBB,False,False
EGBB,4cafc0:2026-01-18T16:18:35Z,RYR714K,B738,EI-GSK,,2026-01-18,1768767550.09,-59.545799999999986,-38.7733,382.54091490493255,146.0,146,0.0,-59.545799999999986,0.0,GCRR,EGBB,False,False
EGBB,471f68:2026-01-18T17:56:44Z,WMT138,A321,HA-LXG,,2026-01-18,1768769160.24,-25.652199999999993,4.4359,1136.6716842527135,150.0,146,13.361299999999972,-12.290900000000022,4.0,LROP,EGBB,False,False
EGBB,4070e2:2026-01-18T16:35:12Z,EXS23PW,B738,G-JZHN,,2026-01-18,1768769384.01,-47.92290000000003,-16.0018,957.0395710297076,143.0,146,10.248400000000004,-37.67450000000002,3.0,,EGBB,False,False
EGBB,4cae8d:2026-01-18T20:20:37Z,RYR92YT,B38M,EI-IKK,,2026-01-18,1768769813.71,-38.38159999999999,-18.4788,314.5567183367141,146.0,146,0.0,-38.38159999999999,0.0,EIDW,EGBB,False,False
EGBB,40823d:2026-01-18T18:17:12Z,EXS1QR,A21N,G-HLYL,,2026-01-18,1768769985.47,-25.021599999999978,5.6302,853.5314788950953,144.0,146,36.32299999999998,11.301400000000001,2.0,,EGBB,False,False
EGBB,406017:2026-01-18T20:18:51Z,EZY56QY,A320,G-EZTN,,2026-01-18,1768770186.77,-73.0704,-41.4973,941.5321263187521,146.0,146,58.760699999999986,-14.30970000000002,0.0,EGPF,EGBB,False,False
