flight_id,area,day,reg,type,callsign,dur_s,mean_qnh_ft,band_ft,sq7000_frac
4cae08:2026-03-07T10:26:09Z,devon,2026-03-07,EI-BUF,C210,EIBUF,157.1,9346.0,0.0,0.0
45214a:2026-03-07T06:25:26Z,devon,2026-03-07,LZ-LUX,PRM1,PJJ311A,174.1,34335.5,75.0,0.0
402e21:2026-03-21T16:42:11Z,devon,2026-03-21,G-EGTB,P28A,GEGTB,125.6,3238.2,100.0,0.0
404950:2026-03-21T16:20:15Z,devon,2026-03-21,G-CCEF,EUPA,GCCEF,379.7,3304.7,150.0,1.0
a88c15:2026-03-21T16:14:22Z,devon,2026-03-21,N65TL,S22T,N65TL,339.9,4036.0,125.0,0.4
40710f:2026-03-21T15:26:47Z,devon,2026-03-21,G-SAJM,DA42,SFY2JM,152.8,3421.8,100.0,0.19
40710f:2026-03-21T15:26:47Z,devon,2026-03-21,G-SAJM,DA42,SFY2JM,148.8,2271.9,100.0,0.0
405b26:2026-03-21T14:32:18Z,devon,2026-03-21,G-DADZ,CRUZ,GDADZ,273.4,3772.0,125.0,0.49
405b26:2026-03-21T14:32:18Z,devon,2026-03-21,G-DADZ,CRUZ,GDADZ,192.5,4084.4,150.0,1.0
404950:2026-03-21T13:35:46Z,devon,2026-03-21,G-CCEF,EUPA,GCCEF,188.9,2799.6,125.0,0.0
402620:2026-03-21T13:00:24Z,devon,2026-03-21,G-AMUI,AIGT,7000,232.4,1967.7,75.0,0.0
402620:2026-03-21T13:00:24Z,devon,2026-03-21,G-AMUI,AIGT,7000,161.7,1578.3,25.0,0.0
402e21:2026-03-21T12:46:32Z,devon,2026-03-21,G-EGTB,P28A,GEGTB,120.1,3437.5,100.0,0.0
402e21:2026-03-21T12:46:32Z,devon,2026-03-21,G-EGTB,P28A,GEGTB,122.7,3101.4,100.0,0.0
402e21:2026-03-21T12:46:32Z,devon,2026-03-21,G-EGTB,P28A,GEGTB,336.9,2292.2,100.0,0.0
401e94:2026-03-21T10:24:23Z,devon,2026-03-21,G-BHUG,C172,GBHUG,426.1,3652.1,75.0,0.52
407937:2026-03-21T10:10:17Z,devon,2026-03-21,G-LHXB,DA42,AFZ35Y,127.8,2193.9,75.0,0.0
404c48:2026-03-21T09:19:13Z,devon,2026-03-21,G-CCYS,C182,GCCYS,174.1,4464.8,125.0,0.0
45da05:2026-03-21T09:00:33Z,devon,2026-03-21,OY-VPE,P68,BIO05,134.9,3011.8,0.0,0.0
4076c0:2026-03-21T08:32:33Z,devon,2026-03-21,G-RVBP,RV7,GRVBP,453.7,5309.2,0.0,0.0
404328:2026-03-21T08:29:38Z,devon,2026-03-21,G-EGLS,P28A,GEGLS,401.6,6211.0,0.0,0.0
401e04:2026-03-28T14:35:14Z,devon,2026-03-28,G-BGYH,P28A,GBGYH,125.2,2456.2,100.0,0.0
408323:2026-03-28T13:27:42Z,devon,2026-03-28,G-IPDP,PC12,GIPDP,197.5,28499.3,0.0,0.0
408302:2026-03-28T10:27:30Z,devon,2026-03-28,G-CNAG,SIRA,GCNAG,158.5,3530.1,100.0,0.0
408254:2026-04-11T12:20:08Z,devon,2026-04-11,G-RGAH,DA40,LDG33,175.8,4026.1,100.0,0.0
407539:2026-04-11T09:54:21Z,devon,2026-04-11,G-PKHA,PC12,GPKHA,296.4,27843.8,0.0,0.0
49d62c:2026-04-15T11:40:31Z,devon,2026-04-15,OK-PHP,E55P,AAN171,145.3,42975.7,0.0,0.0
400f18:2026-04-22T16:30:14Z,devon,2026-04-22,G-RASA,DA42,AOS15,190.1,2264.0,125.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,376.2,4031.3,150.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,212.2,4549.1,150.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,237.0,4525.9,150.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,494.4,5274.9,75.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,199.1,2185.3,75.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,150.0,3407.3,100.0,0.0
407937:2026-04-22T16:02:51Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,190.2,2171.5,100.0,0.0
407937:2026-04-22T14:31:27Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,167.8,2204.3,125.0,0.0
407937:2026-04-22T11:05:12Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,135.4,2221.5,125.0,0.0
407937:2026-04-22T11:05:12Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,264.4,4036.7,150.0,0.0
407937:2026-04-22T11:05:12Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,202.9,3533.3,125.0,0.0
40710f:2026-04-22T09:18:43Z,devon,2026-04-22,G-SAJM,DA42,SFY2JM,977.4,5275.6,100.0,0.0
40710f:2026-04-22T09:18:43Z,devon,2026-04-22,G-SAJM,DA42,SFY2JM,155.9,2175.6,125.0,0.34
407937:2026-04-22T09:13:12Z,devon,2026-04-22,G-LHXB,DA42,AFZ35Y,171.7,2185.0,150.0,0.0
4cac5e:2026-05-03T13:27:53Z,devon,2026-05-03,EJ-VAIS,PC12,EIX09D,215.4,25889.6,0.0,0.0
407e1c:2026-05-03T11:17:08Z,devon,2026-05-03,G-GIMT,DA62,GGIMT,138.5,5151.0,75.0,1.0
407997:2026-05-03T08:35:36Z,devon,2026-05-03,G-LHXC,DA42,LDG23,261.8,4938.4,150.0,0.0
4017fe:2026-05-09T13:12:07Z,devon,2026-05-09,G-AXCG,D11,GAXCG,144.3,3178.5,75.0,0.0
4016db:2026-05-09T12:18:20Z,devon,2026-05-09,G-AVGZ,DR10,GAVGZ,186.9,2052.7,125.0,0.0
4016db:2026-05-09T12:18:20Z,devon,2026-05-09,G-AVGZ,DR10,GAVGZ,373.5,2156.2,75.0,0.03
403cba:2026-05-09T12:06:14Z,devon,2026-05-09,G-BWYD,EUPA,GBWYD,242.6,2976.5,100.0,1.0
4075b7:2026-05-09T10:16:39Z,devon,2026-05-09,G-XIVA,RV14,GXIVA,241.7,2472.3,100.0,1.0
4075b7:2026-05-09T10:16:39Z,devon,2026-05-09,G-XIVA,RV14,GXIVA,182.0,2205.3,125.0,1.0
4016db:2026-05-09T10:03:55Z,devon,2026-05-09,G-AVGZ,DR10,GAVGZ,410.1,2021.9,125.0,0.0
408248:2026-05-09T09:30:10Z,devon,2026-05-09,G-GWVV,SR20,GGWVV,244.9,6019.8,0.0,0.0
408248:2026-05-09T09:30:10Z,devon,2026-05-09,G-GWVV,SR20,GGWVV,170.2,2294.0,100.0,0.0
408309:2026-05-16T09:13:38Z,devon,2026-05-16,G-SALW,DA42,SFY5LW,844.9,4952.2,75.0,0.0
a2ffb6:2026-05-16T07:37:53Z,devon,2026-05-16,N2923N,PA32,N2923N,153.7,5056.8,0.0,0.0
