flight_id,barrier,group,icao_type,registration,callsign,start_airport,start_elev,end_airport,end_elev,date,crest_clearance_ft,crest_lat,crest_lon,crest_terr_ft,terr_max_ft,alt20_msl_ft,max_msl_over_ft,counterfactual_ft,class,climb_start_km_before,chord_km,in_km,n_sub,sl_terr_max_ft,act_terr_dem_ft,ap_start_km,ap_end_km,d_pre_km,day_traffic
407501:2025-01-30T13:55:55Z,CAMB,trap,SR22,G-KYLA,GKYLA,EGBP,433.0,EGBP,433.0,2025-01-30,4606.1,52.4354,-3.4341,1769.3,1769.3,6374.0,6376.0,4604.7,pre-planned high,,46.3,60.4,1,1807.9,1741.4,100.3,103.9,283.0,13
4077b9:2025-01-30T13:53:04Z,CAMB,trap,RV14,G-STRV,GSTRV,EGFH,299.0,EGCV,275.0,2025-01-30,4060.4,52.2379,-3.5496,1908.9,1908.9,5980.3,5973.4,4071.4,pre-planned high,,38.2,38.2,1,2150.1,2150.1,58.9,40.0,66.7,13
4077b9:2025-01-30T10:53:36Z,CAMB,trap,RV14,G-STRV,GSTRV,EGCV,275.0,EGFE,159.0,2025-01-30,4712.8,52.5264,-3.31,669.2,1801.3,5048.7,6574.6,3247.4,pre-planned high,,58.2,58.2,1,2764.6,2764.6,37.6,78.9,49.0,13
403bc5:2025-03-15T10:10:52Z,CAMB,trap,P28A,G-LORR,GLORR,EGCV,275.0,EGFP,15.0,2025-03-15,2120.4,52.4513,-3.4087,1678.8,1766.6,5966.1,6674.4,4199.5,pre-planned high,,55.0,55.2,1,2764.6,2764.6,39.2,54.7,58.1,11
4077c5:2025-04-03T11:02:20Z,CAMB,trap,BE33,G-EEWA,GEEWA,EGHJ,53.0,EGCK,1.0,2025-04-03,3475.8,52.4334,-3.3106,1569.0,1569.0,5042.2,5097.8,3473.2,pre-planned high,,40.4,40.4,1,1877.8,1877.8,225.3,51.6,261.5,6
4077c5:2025-04-01T13:35:02Z,CAMB,trap,BE33,G-EEWA,GEEWA,EGCK,1.0,EGHJ,53.0,2025-04-01,3410.6,52.5551,-3.6803,1677.4,1677.4,5266.9,5251.6,3589.5,pre-planned high,,61.9,61.9,1,2255.9,2310.3,51.7,224.7,56.8,15
40216d:2025-04-01T13:20:51Z,CAMB,trap,P28A,G-CLEA,GCLEA,EGCK,1.0,EGBP,433.0,2025-04-01,2335.9,52.5358,-3.5046,1269.1,1516.7,4265.6,4363.6,2748.9,pre-planned high,,42.2,42.5,1,2098.6,2098.6,51.6,99.2,73.1,15
407d4a:2025-04-27T15:56:36Z,CAMB,trap,RV8,G-PWII,GPWII,EGFP,15.0,EGCV,275.0,2025-04-27,2093.6,52.2403,-3.5491,1915.3,1915.3,4033.4,4175.3,2118.1,pre-planned high,,39.9,39.9,1,2150.1,2150.1,54.7,40.0,69.6,7
404df5:2025-04-26T10:40:12Z,CAMB,trap,RV8,G-SOUT,GSOUT,EGCV,275.0,EGFP,15.0,2025-04-26,4615.4,52.4329,-3.3105,1313.5,1586.4,5450.0,6309.8,3863.6,pre-planned high,,41.5,41.8,4,2479.3,2479.3,36.7,54.2,20.8,5
c0607d:2025-04-24T17:13:45Z,CAMB,trap,SC7,C-GKOA,CGKOA,EGBJ,101.0,EGVN,288.0,2025-04-24,2386.7,52.6764,-3.6152,1644.5,1644.5,3977.9,4184.4,2333.4,pre-planned high,,28.4,28.5,2,1673.8,1673.8,83.2,124.1,111.8,12
a7dc8f:2025-05-16T06:30:10Z,CAMB,trap,BE55,N60526,N60526,EGTR,332.0,EIWT,150.0,2025-05-16,3598.1,52.6828,-3.9299,2145.1,2145.1,5610.8,5756.5,3465.7,pre-planned high,,48.9,49.0,1,3521.5,3521.5,212.2,184.4,225.2,15
402ba3:2025-05-15T13:53:49Z,CAMB,trap,C182,G-BOTH,GBOTH,EGJB,336.0,EGNH,34.0,2025-05-15,4079.1,52.6769,-3.578,1320.9,1589.4,5566.7,5880.0,3977.2,pre-planned high,,61.1,61.5,5,2479.3,2678.5,306.4,120.7,244.8,11
4037df:2025-05-15T10:27:51Z,CAMB,trap,RV6,G-VANZ,GVANZ,EGCV,275.0,EGCV,275.0,2025-05-15,1899.9,52.447,-3.3524,1241.8,1241.8,2601.0,3269.8,1359.2,pre-planned high,,39.0,40.9,1,1807.9,1807.9,38.9,38.2,85.0,11
40465e:2025-05-15T09:41:55Z,CAMB,trap,RV6,G-GDRV,GGDRV,EGCK,1.0,EGBJ,101.0,2025-05-15,4348.6,52.6635,-3.6245,1534.2,1534.2,5886.1,5883.3,4351.9,pre-planned high,,36.2,36.2,1,1652.2,1652.2,51.7,82.0,72.4,11
