flight_id,region,day,icao_type,callsign,t_start,t_end,duration,median_qnh,median_track,mag_course,level_type,level_value,correct,near_squawk_change,near_boundary
a67901:2026-01-14T18:59:54Z,florida,2026-01-14,P28A,N516PC,1768417801.67,1768418635.43,833.8,5040.2,184.0,191.0,IFR_level,5000,,False,False
a67901:2026-01-14T18:59:54Z,florida,2026-01-14,P28A,N516PC,1768428131.41,1768429765.67,1634.3,5540.2,10.0,17.0,VFR_level,5500,True,False,False
ad4f1c:2026-01-14T18:46:01Z,florida,2026-01-14,C172,ERU957,1768419526.79,1768419823.93,297.1,4474.4,289.0,296.0,VFR_level,4500,True,True,False
a4ee93:2026-01-14T18:43:21Z,florida,2026-01-14,PA44,EPI684,1768419103.92,1768419375.31,271.4,4671.1,249.0,256.0,off_level,,,False,False
a4ee93:2026-01-14T18:43:21Z,florida,2026-01-14,PA44,EPI684,1768419560.75,1768419961.3,400.5,4621.1,249.0,256.0,VFR_level,4500,True,False,False
a06089:2026-01-14T18:30:08Z,florida,2026-01-14,PA44,N123TJ,1768416478.98,1768416671.49,192.5,4513.6,121.0,128.0,VFR_level,4500,False,True,False
a06089:2026-01-14T18:30:08Z,florida,2026-01-14,PA44,N123TJ,1768417493.32,1768417686.59,193.3,3913.6,277.0,284.0,IFR_level,4000,,True,False
a916cc:2026-01-14T18:26:50Z,florida,2026-01-14,P28A,LFA542,1768416463.53,1768416706.62,243.1,3514.3,173.0,180.0,VFR_level,3500,False,True,True
a916cc:2026-01-14T18:26:50Z,florida,2026-01-14,P28A,LFA542,1768416889.11,1768417267.77,378.7,3464.3,0.0,7.0,VFR_level,3500,True,True,False
a9ef40:2026-01-14T18:21:26Z,florida,2026-01-14,C210,N7393E,1768414886.44,1768415264.1,377.7,4557.1,154.0,161.0,VFR_level,4500,False,False,False
a9ef40:2026-01-14T18:21:26Z,florida,2026-01-14,C210,N7393E,1768415499.38,1768416407.47,908.1,4557.1,154.0,161.0,VFR_level,4500,False,False,False
a9ef40:2026-01-14T18:21:26Z,florida,2026-01-14,C210,N7393E,1768416721.12,1768417180.57,459.5,4457.1,154.0,161.0,VFR_level,4500,False,False,False
a6378d:2026-01-14T18:10:20Z,florida,2026-01-14,BE58,N5ZR,1768414657.27,1768414965.54,308.3,7990.3,316.0,323.0,IFR_level,8000,,True,False
ad96e2:2026-01-14T18:09:29Z,florida,2026-01-14,P06T,N975GV,1768414859.37,1768417017.02,2157.7,4528.3,174.0,181.0,VFR_level,4500,True,False,True
ad96e2:2026-01-14T18:09:29Z,florida,2026-01-14,P06T,N975GV,1768418207.35,1768419243.59,1036.2,5503.3,174.0,181.0,VFR_level,5500,False,False,True
ad96e2:2026-01-14T18:09:29Z,florida,2026-01-14,P06T,N975GV,1768419484.06,1768419842.37,358.3,3553.3,174.0,181.0,VFR_level,3500,False,False,True
ac2d25:2026-01-14T18:08:40Z,florida,2026-01-14,C172,ERU884,1768415949.29,1768416149.55,200.3,3509.8,243.0,250.0,VFR_level,3500,False,True,False
a741dd:2026-01-14T18:07:55Z,florida,2026-01-14,C152,N567KS,1768414433.52,1768414710.98,277.5,3470.7,64.0,71.0,VFR_level,3500,True,False,False
a741dd:2026-01-14T18:07:55Z,florida,2026-01-14,C152,N567KS,1768414734.55,1768415074.23,339.7,3270.7,64.0,71.0,off_level,,,False,False
a741dd:2026-01-14T18:07:55Z,florida,2026-01-14,C152,N567KS,1768415619.31,1768415984.71,365.4,3270.7,64.0,71.0,off_level,,,False,False
a94202:2026-01-14T18:07:09Z,florida,2026-01-14,P28A,LFA553,1768416370.63,1768416552.83,182.2,4219.5,221.0,228.0,off_level,,,True,False
acf948:2026-01-14T18:04:47Z,florida,2026-01-14,PA44,LFA688,1768415951.51,1768416147.1,195.6,4320.2,12.0,19.0,off_level,,,True,False
a0e40a:2026-01-14T18:01:31Z,florida,2026-01-14,BE58,N15688,1768415881.65,1768416135.18,253.5,4491.9,333.0,340.0,VFR_level,4500,True,False,False
a0e40a:2026-01-14T18:01:31Z,florida,2026-01-14,BE58,N15688,1768416200.29,1768416799.05,598.8,4466.9,334.0,341.0,VFR_level,4500,True,False,False
a0e40a:2026-01-14T18:01:31Z,florida,2026-01-14,BE58,N15688,1768416861.58,1768418508.44,1646.9,4461.8,345.0,352.0,VFR_level,4500,True,False,False
a639e2:2026-01-14T18:00:11Z,florida,2026-01-14,PA34,N50ZM,1768414791.49,1768415126.41,334.9,4462.4,28.0,35.0,VFR_level,4500,False,False,False
a79b55:2026-01-14T17:54:23Z,florida,2026-01-14,PA44,N59CW,1768414343.56,1768414623.53,280.0,4996.0,14.0,21.0,IFR_level,5000,,False,False
