area,season,bin_start_ft,bin_end_ft,flight_seconds
london_tma_shelf,summer,0,250,33.89
london_tma_shelf,summer,250,500,264.92
london_tma_shelf,summer,500,750,392.9
london_tma_shelf,summer,750,1000,3637.83
london_tma_shelf,summer,1000,1250,11414.83
london_tma_shelf,summer,1250,1500,13956.89
london_tma_shelf,summer,1500,1750,25102.9
london_tma_shelf,summer,1750,2000,26477.96
london_tma_shelf,summer,2000,2250,15198.53
london_tma_shelf,summer,2250,2500,5146.69
london_tma_shelf,summer,2500,2750,589.15
london_tma_shelf,summer,2750,3000,1464.78
london_tma_shelf,summer,3000,3250,1418.54
london_tma_shelf,summer,3250,3500,433.12
london_tma_shelf,summer,3500,3750,422.89
london_tma_shelf,summer,3750,4000,568.51
london_tma_shelf,summer,4000,4250,434.35
london_tma_shelf,summer,4250,4500,199.17
london_tma_shelf,summer,4500,4750,198.48
london_tma_shelf,summer,4750,5000,343.89
london_tma_shelf,summer,5000,5250,163.31
london_tma_shelf,summer,5250,5500,86.48
london_tma_shelf,summer,5500,5750,78.13
london_tma_shelf,summer,5750,6000,82.3
london_tma_shelf,winter,0,250,4.36
london_tma_shelf,winter,250,500,71.47
london_tma_shelf,winter,500,750,102.94
london_tma_shelf,winter,750,1000,824.9
london_tma_shelf,winter,1000,1250,6987.57
london_tma_shelf,winter,1250,1500,5379.62
london_tma_shelf,winter,1500,1750,5377.29
london_tma_shelf,winter,1750,2000,12560.18
london_tma_shelf,winter,2000,2250,8164.97
london_tma_shelf,winter,2250,2500,2338.91
london_tma_shelf,winter,2500,2750,199.88
london_tma_shelf,winter,2750,3000,745.08
london_tma_shelf,winter,3000,3250,624.39
london_tma_shelf,winter,3250,3500,193.04
london_tma_shelf,winter,3500,3750,179.98
london_tma_shelf,winter,3750,4000,167.85
london_tma_shelf,winter,4000,4250,114.74
london_tma_shelf,winter,4250,4500,116.39
london_tma_shelf,winter,4500,4750,94.99
london_tma_shelf,winter,4750,5000,111.97
london_tma_shelf,winter,5000,5250,105.68
london_tma_shelf,winter,5250,5500,36.1
london_tma_shelf,winter,5500,5750,28.52
london_tma_shelf,winter,5750,6000,54.82
manchester_llr,summer,0,250,0.0
manchester_llr,summer,250,500,122.49
manchester_llr,summer,500,750,389.99
manchester_llr,summer,750,1000,2542.21
manchester_llr,summer,1000,1250,6953.39
manchester_llr,summer,1250,1500,4143.78
manchester_llr,summer,1500,1750,340.52
manchester_llr,summer,1750,2000,131.53
manchester_llr,summer,2000,2250,132.97
manchester_llr,summer,2250,2500,136.91
manchester_llr,summer,2500,2750,133.95
manchester_llr,summer,2750,3000,426.21
manchester_llr,summer,3000,3250,116.43
manchester_llr,summer,3250,3500,89.17
manchester_llr,summer,3500,3750,70.51
manchester_llr,summer,3750,4000,56.98
manchester_llr,summer,4000,4250,58.17
manchester_llr,summer,4250,4500,46.83
manchester_llr,summer,4500,4750,44.7
manchester_llr,summer,4750,5000,45.88
manchester_llr,summer,5000,5250,47.31
manchester_llr,summer,5250,5500,87.85
manchester_llr,summer,5500,5750,12.48
manchester_llr,summer,5750,6000,12.58
manchester_llr,winter,0,250,0.0
manchester_llr,winter,250,500,28.46
manchester_llr,winter,500,750,120.66
manchester_llr,winter,750,1000,712.02
manchester_llr,winter,1000,1250,1489.27
manchester_llr,winter,1250,1500,1803.04
manchester_llr,winter,1500,1750,82.03
manchester_llr,winter,1750,2000,31.01
manchester_llr,winter,2000,2250,38.75
manchester_llr,winter,2250,2500,45.68
manchester_llr,winter,2500,2750,47.04
manchester_llr,winter,2750,3000,53.21
manchester_llr,winter,3000,3250,58.31
manchester_llr,winter,3250,3500,58.22
manchester_llr,winter,3500,3750,55.44
manchester_llr,winter,3750,4000,65.03
manchester_llr,winter,4000,4250,61.19
manchester_llr,winter,4250,4500,54.6
manchester_llr,winter,4500,4750,52.39
manchester_llr,winter,4750,5000,61.84
manchester_llr,winter,5000,5250,22.39
manchester_llr,winter,5250,5500,21.03
manchester_llr,winter,5500,5750,20.65
manchester_llr,winter,5750,6000,21.23
control,summer,0,250,0.0
control,summer,250,500,67.4
control,summer,500,750,1342.2
control,summer,750,1000,4163.93
control,summer,1000,1250,10177.38
control,summer,1250,1500,15922.34
control,summer,1500,1750,11269.88
control,summer,1750,2000,20488.07
control,summer,2000,2250,33739.34
control,summer,2250,2500,37721.31
control,summer,2500,2750,25770.4
control,summer,2750,3000,28935.44
control,summer,3000,3250,17451.31
control,summer,3250,3500,17437.91
control,summer,3500,3750,14255.75
control,summer,3750,4000,9439.88
control,summer,4000,4250,6437.46
control,summer,4250,4500,5268.8
control,summer,4500,4750,3532.96
control,summer,4750,5000,4033.25
control,summer,5000,5250,3217.2
control,summer,5250,5500,2696.61
control,summer,5500,5750,1466.96
control,summer,5750,6000,796.48
control,winter,0,250,0.0
control,winter,250,500,0.0
control,winter,500,750,524.39
control,winter,750,1000,1886.01
control,winter,1000,1250,7266.16
control,winter,1250,1500,8090.38
control,winter,1500,1750,5233.61
control,winter,1750,2000,5259.82
control,winter,2000,2250,7687.61
control,winter,2250,2500,11445.81
control,winter,2500,2750,9355.5
control,winter,2750,3000,10076.66
control,winter,3000,3250,7957.6
control,winter,3250,3500,6568.23
control,winter,3500,3750,5303.74
control,winter,3750,4000,3240.86
control,winter,4000,4250,2272.52
control,winter,4250,4500,1759.0
control,winter,4500,4750,1380.31
control,winter,4750,5000,2367.39
control,winter,5000,5250,2782.96
control,winter,5250,5500,1154.44
control,winter,5500,5750,552.12
control,winter,5750,6000,356.72
